id	contig	beg	end	gene	product
cds-AF52_RS22895	NZ_KK737546.1	1	1202		restriction endonuclease
cds-AF52_RS22890	NZ_KK737546.1	1257	1415		IS5/IS1182 family transposase
cds-AF52_RS26590	NZ_KK737546.1	6165	6338		IS5/IS1182 family transposase
cds-AF52_RS26600	NZ_KK737546.1	8440	8543		IS5/IS1182 family transposase
cds-AF52_RS0122900	NZ_KK737546.1	8577	10166		exonuclease
cds-WP_014228879.1	NZ_KK737546.1	10308	10652		Rrf2 family transcriptional regulator
cds-WP_032429382.1	NZ_KK737546.1	10695	10889		DUF1482 family protein
cds-AF52_RS0122905	NZ_KK737546.1	11334	11537		hypothetical protein
cds-AF52_RS26610	NZ_KK737546.1	11581	11765		IS5/IS1182 family transposase
cds-AF52_RS22870	NZ_KK737546.1	12344	12603		IS5/IS1182 family transposase
cds-WP_040234937.1	NZ_KK737546.1	13181	13495		hypothetical protein
cds-WP_032429384.1	NZ_KK737546.1	13777	14166		helix-turn-helix domain-containing protein
cds-WP_072001558.1	NZ_KK737546.1	14276	14503		helix-turn-helix transcriptional regulator
cds-WP_032429385.1	NZ_KK737546.1	14506	15060		hypothetical protein
cds-WP_072001559.1	NZ_KK737546.1	15105	16124		helix-turn-helix domain-containing protein
cds-WP_032429698.1	NZ_KK737546.1	16117	16581		replication protein
cds-WP_032429386.1	NZ_KK737546.1	16595	17035		hypothetical protein
cds-WP_013815099.1	NZ_KK737546.1	17339	18307		IS5-like element IS903B family transposase
cds-WP_004147997.1	NZ_KK737546.1	18343	18546		hypothetical protein
cds-WP_139042930.1	NZ_KK737546.1	19315	19434		small membrane protein
cds-WP_016160648.1	NZ_KK737546.1	20352	20567		class II holin family protein
cds-WP_032429387.1	NZ_KK737546.1	20567	21064		lysozyme
cds-WP_016160650.1	NZ_KK737546.1	21061	21411		hypothetical protein
cds-WP_050484272.1	NZ_KK737546.1	22361	22786		hypothetical protein
cds-WP_013815099.1-2	NZ_KK737546.1	22812	23780		IS5-like element IS903B family transposase
cds-WP_023289182.1	NZ_KK737546.1	23903	24127		hypothetical protein
cds-WP_162924227.1	NZ_KK737546.1	24306	24470		hypothetical protein
cds-AF52_RS24930	NZ_KK737546.1	24454	24816		HNH endonuclease
cds-WP_023289183.1	NZ_KK737546.1	24768	25091		hypothetical protein
cds-WP_023289184.1	NZ_KK737546.1	25088	25519		hypothetical protein
cds-WP_012542168.1	NZ_KK737546.1	25767	26201		phage terminase small subunit P27 family
cds-WP_021462603.1	NZ_KK737546.1	26201	27922		terminase large subunit
cds-WP_017898992.1	NZ_KK737546.1	27916	28095		hypothetical protein
cds-WP_012542166.1	NZ_KK737546.1	28095	29354		phage portal protein
cds-WP_032429388.1	NZ_KK737546.1	29391	30311		S49 family peptidase
cds-WP_032429389.1	NZ_KK737546.1	30389	31675		phage major capsid protein
cds-WP_014907814.1	NZ_KK737546.1	31734	31994		hypothetical protein
cds-WP_020317538.1	NZ_KK737546.1	31975	32292		phage gp6-like head-tail connector protein
cds-WP_014228910.1	NZ_KK737546.1	32289	32627		head-tail adaptor protein
cds-WP_032429390.1	NZ_KK737546.1	32608	32997		hypothetical protein
cds-WP_017898997.1	NZ_KK737546.1	32994	33395		HK97 gp10 family phage protein
cds-WP_014228913.1	NZ_KK737546.1	33427	33888		major tail shaft subunit
cds-WP_014228914.1	NZ_KK737546.1	33946	34311		phage tail protein
cds-WP_032429392.1	NZ_KK737546.1	34544	37879		phage tail tape measure protein
cds-WP_014228916.1	NZ_KK737546.1	37879	38217		phage tail protein
cds-WP_032429393.1	NZ_KK737546.1	38214	38969		phage minor tail protein L
cds-WP_023317958.1	NZ_KK737546.1	38971	39681		C40 family peptidase
cds-WP_032429394.1	NZ_KK737546.1	39714	40061		hypothetical protein
cds-WP_023159867.1	NZ_KK737546.1	40113	40706		tail assembly protein
cds-AF52_RS0122945	NZ_KK737546.1	40769	53314		carbohydrate binding domain-containing protein
cds-WP_032429396.1	NZ_KK737546.1	53376	54872		tail fiber domain-containing protein
cds-WP_004892953.1	NZ_KK737546.1	55027	55179		isocitrate dehydrogenase
cds-WP_023279886.1	NZ_KK737546.1	55452	56165		winged helix-turn-helix transcriptional regulator
cds-WP_004190914.1	NZ_KK737546.1	56162	56554		hypothetical protein
cds-WP_004150797.1	NZ_KK737546.1	56547	56870		antibiotic biosynthesis monooxygenase
cds-AF52_RS0122950	NZ_KK737546.1	56993	57166		hypothetical protein
cds-WP_004140530.1	NZ_KK737546.1	57320	57547		DUF1272 domain-containing protein
cds-WP_021462619.1	NZ_KK737546.1	57660	58853		glutathione-dependent formaldehyde dehydrogenase
cds-WP_004150795.1	NZ_KK737546.1	59476	59661		general stress protein
cds-WP_004148027.1	NZ_KK737546.1	59752	60246		ferritin-like domain-containing protein
cds-WP_004140514.1	NZ_KK737546.1	60273	60779		ferritin-like domain-containing protein
cds-WP_013815099.1-3	NZ_KK737546.1	60849	61817		IS5-like element IS903B family transposase
cds-WP_032429398.1	NZ_KK737546.1	61874	62749		manganese catalase family protein
cds-WP_004140511.1	NZ_KK737546.1	62805	64211		cytochrome ubiquinol oxidase subunit I
cds-WP_004183659.1	NZ_KK737546.1	64208	65218	cydB	cytochrome d ubiquinol oxidase subunit II
cds-WP_004140506.1	NZ_KK737546.1	65334	65531		hypothetical protein
cds-WP_004183660.1	NZ_KK737546.1	66098	66730		DNA-binding protein
cds-WP_004140501.1	NZ_KK737546.1	66770	66949		hypothetical protein
cds-WP_004150790.1	NZ_KK737546.1	67347	68033		EAL domain-containing protein
cds-WP_004150789.1	NZ_KK737546.1	68146	68310		hypothetical protein
cds-WP_004140497.1	NZ_KK737546.1	68344	69852		UbiD family decarboxylase
cds-WP_021313530.1	NZ_KK737546.1	69973	70863		LysR family transcriptional regulator
cds-WP_004213090.1	NZ_KK737546.1	70870	72654		diguanylate cyclase
cds-WP_004140494.1	NZ_KK737546.1	72728	73936		HD domain-containing protein
cds-WP_004179363.1	NZ_KK737546.1	74239	75282		type II asparaginase
cds-WP_004148038.1	NZ_KK737546.1	75944	76858	lpxP	kdo(2)-lipid IV(A) palmitoleoyltransferase
cds-WP_004150783.1	NZ_KK737546.1	76948	77586	leuE	leucine efflux protein LeuE
cds-WP_004140489.1	NZ_KK737546.1	77717	77980		DUF2534 family protein
cds-WP_004140488.1	NZ_KK737546.1	78039	78164		hypothetical protein
cds-WP_004213093.1	NZ_KK737546.1	78282	78356	yoaJ	protein YoaJ
cds-WP_004150782.1	NZ_KK737546.1	78356	78457	yoaK	YoaK family small membrane protein
cds-WP_004176549.1	NZ_KK737546.1	78515	79528		sensor domain-containing diguanylate cyclase
cds-WP_004176548.1	NZ_KK737546.1	79829	80068		DUF333 domain-containing protein
cds-WP_014343000.1	NZ_KK737546.1	80058	80396		DUF488 family protein
cds-WP_020802835.1	NZ_KK737546.1	80401	80910		DUF523 domain-containing protein
cds-WP_021441569.1	NZ_KK737546.1	81056	81748		CTP synthase
cds-WP_020324105.1	NZ_KK737546.1	81780	82955		CynX/NimT family MFS transporter
cds-WP_004140469.1	NZ_KK737546.1	83063	83857		helix-turn-helix transcriptional regulator
