id	ko
cds-AF52_RS22895	
cds-AF52_RS26590	
cds-AF52_RS0122900	K10906
cds-WP_032429382.1	
cds-AF52_RS26610	
cds-WP_040234937.1	
cds-WP_072001558.1	
cds-WP_072001559.1	
cds-WP_032429386.1	
cds-WP_004147997.1	
cds-WP_016160648.1	
cds-WP_016160650.1	
cds-WP_013815099.1-2	
cds-WP_162924227.1	
cds-WP_023289183.1	
cds-WP_012542168.1	
cds-WP_017898992.1	
cds-WP_032429388.1	K21511
cds-WP_014907814.1	
cds-WP_014228910.1	
cds-WP_017898997.1	
cds-WP_014228914.1	
cds-WP_014228916.1	
cds-WP_023317958.1	
cds-WP_023159867.1	
cds-WP_032429396.1	
cds-WP_023279886.1	
cds-WP_004150797.1	
cds-WP_004140530.1	
cds-WP_004150795.1	K06884
cds-WP_004140514.1	
cds-WP_032429398.1	K07217
cds-WP_004183659.1	K00426
cds-WP_004183660.1	
cds-WP_004150790.1	
cds-WP_004140497.1	K22958
cds-WP_004213090.1	
cds-WP_004179363.1	K01424
cds-WP_004150783.1	K11250
cds-WP_004140488.1	
cds-WP_004150782.1	
cds-WP_004176548.1	K09712
cds-WP_020802835.1	
cds-WP_020324105.1	K03449
cds-WP_002901080.1	
cds-WP_072271772.1	
cds-WP_002901192.1	K03503
cds-WP_021441571.1	K18900
cds-WP_021441573.1	
cds-WP_004220356.1	
cds-WP_032428825.1	
cds-WP_004140429.1	K09786
cds-WP_002901236.1	K07274
cds-WP_002901240.1	K01792
cds-WP_002901246.1	K07305
cds-WP_002901254.1	
cds-WP_004140413.1	K08281
cds-WP_004140411.1	K04773
cds-WP_002901387.1	K09474
cds-WP_032428827.1	K03169
cds-WP_004176526.1	K00262
cds-WP_002901398.1	
cds-WP_032428829.1	K05779
cds-WP_004224226.1	K05777
cds-WP_004151923.1	
cds-WP_002901486.1	K01142
cds-WP_032429405.1	K00673
cds-WP_004892826.1	K01484
cds-WP_004217130.1	K06006
cds-WP_032429406.1	K01916
cds-WP_013815099.1-4	
cds-WP_014907779.1	
cds-WP_004183683.1	K02759
cds-WP_032429409.1	K01222
cds-WP_002901554.1	K03781
cds-WP_032429412.1	K06956
cds-WP_004176511.1	K00065
cds-WP_002901627.1	
cds-AF52_RS0123015	K19611
cds-WP_002901632.1	
cds-WP_002901634.1	K07275
cds-WP_032429415.1	K16090
cds-WP_004151911.1	
cds-WP_021441594.1	
cds-WP_004210755.1	K13021
cds-WP_004179454.1	K11529
cds-WP_032423750.1	K01696
cds-WP_021441599.1	K13497
cds-WP_002901735.1	K07053
cds-WP_021441600.1	
cds-WP_002901746.1	K06178
cds-WP_032429418.1	
cds-WP_002901758.1	K04774
cds-WP_002901763.1	K03168
cds-WP_002901776.1	
cds-WP_032429421.1	K01497
cds-WP_002901780.1	K08992
cds-WP_014907762.1	K01591
cds-WP_002901783.1	
cds-WP_002901786.1	
cds-WP_032421254.1	
cds-WP_014907760.1	K09975
cds-WP_004140269.1	K19230
cds-WP_004151901.1	K19228
cds-WP_004892750.1	
cds-WP_108918811.1	
cds-WP_032426563.1	
cds-WP_032429423.1	
cds-WP_008807814.1	
cds-WP_004223168.1	
cds-WP_008807816.1	
cds-WP_004178811.1	
cds-WP_004151298.1	
cds-WP_075209545.1	K02314
cds-AF52_RS21920	
cds-AF52_RS25000	
cds-WP_032429427.1	
cds-WP_032429428.1	
cds-WP_032429429.1	
cds-WP_004177081.1	K01160
cds-WP_032429430.1	
cds-WP_008807831.1	
cds-WP_032429431.1	
cds-WP_013815099.1-5	
cds-WP_004190663.1	
cds-WP_170965341.1	
cds-WP_187079184.1	
cds-WP_032429435.1	
cds-WP_142689607.1	
cds-WP_004190649.1	
cds-WP_008807839.1	
cds-WP_004217341.1	
cds-WP_074185736.1	
cds-WP_032417044.1	
cds-WP_013815099.1-6	
cds-WP_077254381.1	
cds-WP_013815099.1-7	
cds-WP_032429439.1	
cds-WP_032429442.1	
cds-WP_013815099.1-8	
cds-WP_032429443.1	K14060
cds-AF52_RS0123080	K03502
cds-WP_016831214.1	
cds-WP_004140258.1	K19226
cds-WP_019705465.1	
cds-WP_002901900.1	K01451
cds-WP_004148137.1	K03974
cds-WP_002901911.1	K03970
cds-WP_002901915.1	K03971
cds-WP_004140239.1	K08990
cds-WP_002901977.1	K01222
cds-WP_032428836.1	K07120
cds-WP_032429452.1	K19802
cds-WP_004148146.1	
cds-WP_021441615.1	
cds-WP_004152138.1	
cds-WP_023287551.1	
cds-AF52_RS21545	K04757
cds-WP_013815099.1-9	
cds-WP_002902422.1	K14058
cds-WP_002902432.1	
cds-WP_021313170.1	K03737
cds-WP_032429459.1	K03668
cds-WP_002902516.1	
cds-WP_004140145.1	
cds-WP_004140140.1	K14063
cds-WP_032429463.1	K00077
cds-WP_021440034.1	K00276
cds-WP_032428268.1	K02609
cds-WP_020324632.1	K02611
cds-WP_002902772.1	K02613
cds-WP_004140117.1	K15866
cds-WP_002902876.1	K02614
cds-WP_002902877.1	K01912
cds-WP_002902883.1	K02617
cds-WP_002902889.1	K01118
cds-WP_020324670.1	
cds-WP_002902965.1	
cds-WP_002902969.1	K06075
cds-WP_032429472.1	
cds-WP_004224524.1	
cds-WP_004140076.1	K00673
cds-WP_004190366.1	K01484
cds-WP_016947259.1	K03293
cds-WP_020316474.1	
cds-WP_004151568.1	K07248
cds-WP_002903230.1	
cds-WP_002903233.1	
cds-WP_004179665.1	K08987
cds-WP_004151566.1	
cds-WP_032429478.1	K14155
cds-WP_021440048.1	K16136
cds-WP_032429480.1	K01809
cds-WP_002903315.1	K01679
cds-WP_021440052.1	K07639
cds-WP_002903377.1	K07661
cds-WP_004179681.1	K13938
cds-WP_002903384.1	
cds-WP_032422490.1	K00324
cds-WP_004887037.1	
cds-WP_002903394.1	K01420
cds-WP_002903398.1	
cds-WP_023343160.1	
cds-WP_072001561.1	
cds-AF52_RS0123125	
cds-WP_032429491.1	
cds-WP_032429493.1	K03497
cds-WP_032429494.1	K06952
cds-WP_032429496.1	
cds-AF52_RS26730	
cds-WP_032429029.1	
cds-WP_032429498.1	
cds-AF52_RS21035	
cds-AF52_RS21025	
cds-WP_023301931.1	
cds-WP_021440129.1	K02430
cds-WP_032429499.1	
cds-WP_004176179.1	K01759
cds-WP_021440126.1	K01026
cds-WP_004148393.1	K00626
cds-WP_004148392.1	K13874
cds-WP_021440125.1	
cds-WP_002904832.1	K00020
cds-WP_002904827.1	
cds-WP_032417116.1	K02750
cds-WP_032417115.1	K06609
cds-WP_002904816.1	
cds-WP_004148380.1	K07017
cds-WP_002904810.1	
cds-WP_004179825.1	K01265
cds-WP_004143457.1	
cds-WP_016831617.1	
cds-WP_002904794.1	
cds-WP_032417111.1	K15773
cds-WP_002904787.1	K16840
cds-WP_002904783.1	K16839
cds-WP_021440114.1	
cds-WP_014907616.1	
cds-WP_032429504.1	
cds-WP_002904643.1	
cds-WP_002904638.1	K02073
cds-WP_021440109.1	K02072
cds-WP_004143508.1	
cds-WP_032417108.1	
cds-WP_002904624.1	
cds-WP_004143517.1	K01607
cds-WP_021440101.1	
cds-WP_021440100.1	
cds-WP_004190206.1	
cds-WP_021440098.1	K08324
cds-WP_009308907.1	K03829
cds-WP_002904489.1	
cds-WP_032429506.1	
cds-WP_021440094.1	
cds-WP_004179768.1	K08194
cds-WP_002904407.1	K08159
cds-WP_004217987.1	
cds-WP_032429507.1	K03712
cds-WP_002904394.1	K13630
cds-WP_021440091.1	
cds-WP_004176246.1	
cds-WP_032429508.1	K11961
cds-WP_032429509.1	K11959
cds-WP_004183961.1	
cds-WP_004205985.1	
cds-WP_004183956.1	
cds-WP_032429510.1	K02532
cds-WP_004176262.1	
cds-WP_002210513.1	
cds-WP_004224682.1	K21948
cds-WP_004176276.1	K22131
cds-AF52_RS0123155	K03299
cds-AF52_RS0123160	
cds-WP_004143607.1	
cds-WP_004183942.1	K04080
cds-WP_020316505.1	
cds-WP_032429512.1	
cds-WP_004219446.1	
cds-WP_015958377.1	
cds-WP_032417100.1	K01284
cds-WP_002903730.1	K22293
cds-WP_032429514.1	K00040
cds-WP_072143281.1	K09771
cds-WP_002903719.1	K00657
cds-WP_002903714.1	
cds-WP_004152235.1	K07307
cds-WP_004209765.1	K23349
cds-WP_032428278.1	K01935
cds-WP_002903700.1	
cds-WP_029884324.1	K01299
cds-WP_013815099.1-14	
cds-WP_004224649.1	
cds-WP_002903681.1	K11743
cds-WP_004176297.1	K13929
cds-WP_032428276.1	K13931
cds-WP_032429519.1	K13933
cds-WP_004152239.1	K13934
cds-WP_002903632.1	K13928
cds-AF52_RS20245	
cds-AF52_RS20235	K00116
cds-WP_016529947.1	
cds-WP_004176303.1	K07703
cds-WP_004152245.1	K00244
cds-WP_004152246.1	K01676
cds-WP_004143067.1	K01607
cds-WP_032429522.1	K01857
cds-WP_032429523.1	K01032
cds-WP_004151560.1	K02624
cds-WP_002903460.1	K14057
cds-WP_020805029.1	K12941
cds-WP_072001564.1	
cds-WP_021314545.1	K03503
cds-AF52_RS27770	
cds-AF52_RS25145	
cds-WP_004150801.1	K06181
cds-WP_004150803.1	K00566
cds-WP_004176557.1	K01756
cds-WP_004183655.1	
cds-WP_004147969.1	K07637
cds-WP_004150810.1	K01258
cds-WP_004150812.1	K11071
cds-WP_004140590.1	K11069
cds-WP_032429527.1	K20034
cds-WP_009484250.1	K00616
cds-AF52_RS0123225	
cds-AF52_RS25155	K22129
cds-AF52_RS19995	K22129
cds-WP_004211823.1	K01803
cds-WP_032429531.1	
cds-WP_004140619.1	K00884
cds-WP_002900798.1	K09810
cds-WP_004140630.1	
cds-WP_023159039.1	K19236
cds-WP_004147941.1	
cds-WP_004140642.1	
cds-WP_002900781.1	
cds-WP_002900775.1	K07000
cds-WP_023286229.1	K07251
cds-WP_002900683.1	
cds-WP_002900680.1	K02779
cds-WP_021441547.1	K02341
cds-WP_002900671.1	K07082
cds-WP_032428777.1	K09458
cds-WP_002899294.1	K00059
cds-WP_002899288.1	K00648
cds-WP_000290724.1	K02911
cds-WP_004183641.1	
cds-AF52_RS19800	K08300
cds-WP_004218670.1	
cds-WP_002899104.1	K03980
cds-WP_004179323.1	K09915
cds-WP_002899096.1	K08162
cds-WP_032428773.1	K01465
cds-WP_002898992.1	K12148
cds-WP_002898988.1	
cds-WP_004140735.1	K02517
cds-WP_002898981.1	K12147
cds-WP_002898967.1	K03669
cds-WP_021441537.1	K11941
cds-WP_021441536.1	K23518
cds-WP_004140758.1	
cds-WP_032429534.1	K12972
cds-WP_032428769.1	K06911
cds-WP_013815099.1-17	
cds-WP_148673676.1	
cds-WP_020806188.1	K07481
cds-AF52_RS0123260	K01856
cds-WP_032429537.1	K08167
cds-WP_004151231.1	K02575
cds-WP_004148517.1	K00371
cds-WP_004180107.1	K00374
cds-WP_021440213.1	K02011
cds-WP_004189827.1	K02010
cds-WP_021440214.1	K01821
cds-WP_014343117.1	K02030
cds-WP_021440216.1	K02029
cds-WP_032429539.1	K02030
cds-WP_032429541.1	
cds-WP_004180132.1	
cds-WP_002906778.1	K11738
cds-WP_032429542.1	
cds-AF52_RS0123265	
cds-WP_032428300.1	
cds-WP_002906792.1	K23256
cds-WP_002906796.1	K24217
cds-WP_002906801.1	
cds-WP_021440226.1	
cds-AF52_RS25200	
cds-AF52_RS0123285	
cds-AF52_RS0123290	
cds-WP_004189776.1	
cds-WP_004175939.1	K00137
cds-WP_032429544.1	K02054
cds-AF52_RS0123305	K02055
cds-WP_032429545.1	K00425
cds-WP_004180143.1	
cds-WP_013815099.1-19	
cds-WP_004143781.1	
cds-WP_020806151.1	
cds-WP_032428296.1	K05782
cds-WP_004151212.1	
cds-WP_021440235.1	K16868
cds-WP_004891515.1	
cds-WP_002907489.1	
cds-WP_021440237.1	K03929
cds-WP_021440238.1	K00449
cds-WP_004143800.1	
cds-WP_004143804.1	K00121
cds-WP_002907640.1	K12262
cds-WP_002907644.1	
cds-WP_032428298.1	
cds-WP_021440243.1	
cds-WP_021440244.1	K01223
cds-WP_002907654.1	
cds-WP_004143816.1	K03616
cds-WP_002907730.1	K03614
cds-WP_002907733.1	K03613
cds-WP_004151206.1	K03305
cds-WP_032428303.1	K00868
cds-WP_032428304.1	K00275
cds-WP_004143831.1	K09001
cds-AF52_RS19130	
cds-AF52_RS25210	
cds-WP_002907752.1	
cds-WP_002907754.1	
cds-WP_021440254.1	
cds-WP_004175857.1	K16137
cds-WP_013815099.1-21	
cds-WP_002907766.1	K03683
cds-WP_004151204.1	K19303
cds-WP_002907771.1	K04564
cds-WP_004152976.1	
cds-WP_004180170.1	
cds-WP_032429553.1	K00574
cds-WP_032429554.1	K03327
cds-AF52_RS0123325	
cds-WP_032428308.1	
cds-WP_002907799.1	
cds-WP_004184289.1	
cds-WP_004143863.1	
cds-WP_002907807.1	
cds-WP_002907812.1	
cds-WP_004175834.1	K01759
cds-WP_032428309.1	K02035
cds-WP_016197619.1	K02034
cds-WP_021440264.1	K02032
cds-WP_032429555.1	
cds-AF52_RS0123345	
cds-WP_021440268.1	
cds-WP_032428310.1	K02051
cds-WP_032428312.1	
cds-WP_002908128.1	
cds-WP_002908130.1	K02051
cds-WP_002908134.1	K02050
cds-WP_026005880.1	
cds-WP_002908189.1	
cds-WP_004175762.1	K01028
cds-WP_032429560.1	K00626
cds-WP_032428313.1	
cds-WP_004145376.1	
cds-WP_004200174.1	K01652
cds-WP_013815099.1-22	
cds-WP_032428316.1	
cds-WP_002908216.1	K02199
cds-WP_021440284.1	K02197
cds-WP_004189553.1	K02195
cds-WP_004151165.1	K02193
cds-WP_002908285.1	K06151
cds-WP_002908289.1	
cds-WP_002908294.1	K02011
cds-WP_021313976.1	K13574
cds-WP_014343153.1	
cds-WP_004148650.1	
cds-WP_032428318.1	K23241
cds-WP_021440293.1	
cds-WP_032429562.1	K02029
cds-WP_002908378.1	
cds-WP_021440296.1	K02015
cds-WP_002908416.1	K02013
cds-WP_004175711.1	K02049
cds-WP_032429563.1	K02051
cds-WP_032429564.1	
cds-WP_032429565.1	
cds-WP_021440299.1	
cds-AF52_RS0123375	K05819
cds-WP_021440302.1	K04073
cds-WP_004175683.1	K05714
cds-WP_024622675.1	K05712
cds-WP_016530930.1	K02016
cds-WP_004151841.1	K02013
cds-WP_004175664.1	K00014
cds-WP_032429567.1	K00457
cds-WP_004180357.1	K01675
cds-WP_004217210.1	
cds-WP_032429569.1	K06078
cds-WP_002908865.1	K02426
cds-AF52_RS18405	K09015
cds-AF52_RS18395	K09015
cds-WP_002908877.1	K09014
cds-WP_002908880.1	
cds-WP_004143228.1	
cds-WP_004151846.1	
cds-WP_032429570.1	
cds-WP_021440311.1	
cds-WP_004180366.1	K02016
cds-WP_004212506.1	K02013
cds-WP_002909005.1	K00549
cds-WP_004212509.1	
cds-WP_002909015.1	K19222
cds-WP_004148729.1	
cds-WP_009484225.1	
cds-WP_021440317.1	K01626
cds-WP_021440318.1	K08997
cds-WP_020803964.1	K06074
cds-WP_002909085.1	K02073
cds-WP_014907393.1	
cds-WP_020802655.1	K00285
cds-WP_002909098.1	K04764
cds-WP_002909105.1	K01889
cds-WP_000124850.1	K02887
cds-WP_004189469.1	K02520
cds-WP_002910028.1	
cds-WP_032429576.1	K16370
cds-WP_032429577.1	
cds-WP_002910042.1	K09780
cds-WP_072271743.1	
cds-WP_002910077.1	K06131
cds-WP_002910080.1	K10716
cds-WP_004151853.1	K15583
cds-WP_002910089.1	K15581
cds-WP_002910095.1	
cds-WP_002910097.1	K04072
cds-WP_004145401.1	
cds-WP_002910105.1	K00963
cds-WP_002910108.1	K07001
cds-WP_004151854.1	K01433
cds-WP_021440328.1	
cds-WP_002910191.1	K00373
cds-WP_004180382.1	K00370
cds-WP_032428323.1	K02575
cds-WP_002910198.1	K07684
cds-WP_004175564.1	K00372
cds-WP_004145418.1	K15578
cds-WP_032429580.1	K15576
cds-WP_002910380.1	K06039
cds-WP_004152258.1	K07232
cds-WP_002910392.1	K07300
cds-WP_032429581.1	
cds-WP_004898979.1	K02493
cds-WP_002910404.1	K02492
cds-WP_004898981.1	K00919
cds-WP_004200291.1	K03321
cds-WP_002910437.1	
cds-WP_002910443.1	K06942
cds-WP_002910453.1	
cds-WP_004175538.1	K11905
cds-WP_021440342.1	K11895
cds-WP_171991785.1	K11891
cds-WP_004899008.1	
cds-WP_071603213.1	
cds-AF52_RS26885	
cds-AF52_RS0123460	
cds-AF52_RS25260	
cds-AF52_RS26910	
cds-WP_032429587.1	K11892
cds-AF52_RS27855	
cds-WP_013815099.1-25	
cds-WP_032429589.1	
cds-WP_032429591.1	
cds-WP_032429593.1	
cds-WP_032429596.1	
cds-WP_032429598.1	
cds-WP_004151282.1	
cds-WP_004884209.1	
cds-WP_032429603.1	K01160
cds-WP_032429604.1	
cds-WP_032429607.1	
cds-WP_077254738.1	
cds-WP_001096658.1	
cds-WP_050484278.1	
cds-WP_032429612.1	
cds-WP_187079187.1	K02314
cds-WP_004151298.1-2	
cds-WP_023284762.1	
cds-WP_074440723.1	
cds-WP_032429616.1	
cds-WP_014342891.1	
cds-WP_032429618.1	
cds-WP_032429620.1	
cds-WP_072001572.1	
cds-WP_032429623.1	
cds-WP_032429624.1	K14059
cds-WP_004145468.1	K02020
cds-WP_032429625.1	
cds-WP_004148802.1	K01610
cds-WP_004175491.1	K01996
cds-WP_004148804.1	K01998
cds-WP_004189329.1	K01999
cds-WP_024622740.1	K00656
cds-WP_004145486.1	K03838
cds-WP_002910764.1	K07592
cds-WP_004145488.1	
cds-WP_032425076.1	
cds-WP_008804319.1	
cds-WP_004211064.1	
cds-WP_004175476.1	K01194
cds-WP_002910846.1	K08308
cds-WP_002910885.1	K11105
cds-WP_004175465.1	K00285
cds-WP_032429737.1	
cds-WP_004151442.1	K03314
cds-WP_002910895.1	
cds-WP_004180422.1	
cds-WP_004180423.1	K03610
cds-WP_002910902.1	K03608
cds-WP_002910904.1	K01897
cds-WP_004151443.1	K14742
cds-WP_002910910.1	
cds-WP_004145520.1	K01665
cds-WP_004151445.1	K01752
cds-WP_004145524.1	
cds-WP_002910918.1	K02795
cds-WP_002910920.1	
cds-WP_002910922.1	K00563
cds-WP_001062678.1	K03704
cds-WP_002911374.1	
cds-WP_004145533.1	
cds-WP_072200054.1	K08169
cds-WP_004145536.1	K03797
cds-WP_002911386.1	K08968
cds-WP_002911388.1	
cds-WP_002911393.1	
cds-WP_009484457.1	K07313
cds-WP_002911398.1	
cds-WP_032429628.1	K07245
cds-WP_002911406.1	K02345
cds-WP_004151449.1	K01354
cds-WP_004184662.1	K09918
cds-WP_002911423.1	K01625
cds-WP_002911427.1	K00036
cds-WP_004145555.1	K19337
cds-WP_032429629.1	K02560
cds-WP_004180437.1	K09815
cds-WP_004212745.1	K09816
cds-WP_002911454.1	K03550
cds-WP_002911459.1	
cds-WP_002911479.1	K01876
cds-WP_009307531.1	
cds-WP_004175417.1	K15256
cds-WP_032429631.1	K06201
cds-WP_004151452.1	K01887
cds-WP_021440394.1	K16210
cds-WP_004175414.1	K00697
cds-WP_002911507.1	K10538
cds-WP_009484443.1	K10537
cds-WP_004175413.1	K02255
cds-WP_002911522.1	K16210
cds-WP_021440395.1	
cds-AF52_RS0123570	
cds-WP_024622766.1	
cds-WP_004141106.1	K07039
cds-WP_002911537.1	K00995
cds-WP_002911539.1	K07689
cds-WP_032429632.1	K07782
cds-WP_002911547.1	K10009
cds-WP_004141135.1	K02424
cds-WP_004189223.1	
cds-WP_002911586.1	
cds-WP_013815099.1-26	
cds-WP_004184683.1	
cds-WP_004153246.1	K00558
cds-WP_004151461.1	
cds-WP_004227143.1	K09933
cds-WP_016946077.1	
cds-WP_004175385.1	K13635
